
2024/02/19 (01:24:54) | ===> btop++ v.1.3.2
2024/02/19 (01:24:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/19 (01:24:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (00:41:48) | ===> btop++ v.1.3.2
2024/03/19 (00:41:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (00:41:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/10 (22:51:41) | ===> btop++ v.1.3.2
2024/05/10 (22:51:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/10 (22:51:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported
